close_time;BTCUSDT;ETHUSDT;BCHUSDT;XRPUSDT;EOSUSDT;LTCUSDT;TRXUSDT;ETCUSDT;LINKUSDT;XLMUSDT;ADAUSDT;XMRUSDT;DASHUSDT;ZECUSDT;XTZUSDT;BNBUSDT;ATOMUSDT;ONTUSDT;IOTAUSDT;BATUSDT;VETUSDT;NEOUSDT;QTUMUSDT;IOSTUSDT;THETAUSDT;ALGOUSDT;ZILUSDT;KNCUSDT;ZRXUSDT;COMPUSDT;OMGUSDT;DOGEUSDT;SXPUSDT;KAVAUSDT;BANDUSDT;RLCUSDT;WAVESUSDT;MKRUSDT;SNXUSDT;DOTUSDT;DEFIUSDT;YFIUSDT;BALUSDT;CRVUSDT;TRBUSDT;RUNEUSDT;SUSHIUSDT;EGLDUSDT;SOLUSDT;ICXUSDT;STORJUSDT;BLZUSDT;UNIUSDT;AVAXUSDT;FTMUSDT;ENJUSDT;FLMUSDT;RENUSDT;KSMUSDT;NEARUSDT;AAVEUSDT;FILUSDT;RSRUSDT;LRCUSDT;OCEANUSDT;CVCUSDT;BELUSDT;CTKUSDT;AXSUSDT;ALPHAUSDT;ZENUSDT;SKLUSDT;GRTUSDT;1INCHUSDT;CHZUSDT;SANDUSDT;ANKRUSDT;LITUSDT;UNFIUSDT;REEFUSDT;RVNUSDT;SFPUSDT;XEMUSDT;COTIUSDT;CHRUSDT;MANAUSDT;ALICEUSDT;HBARUSDT;ONEUSDT;LINAUSDT;STMXUSDT;DENTUSDT;CELRUSDT;HOTUSDT;MTLUSDT;OGNUSDT;NKNUSDT;SCUSDT;DGBUSDT;1000SHIBUSDT;BAKEUSDT;GTCUSDT;BTCDOMUSDT;IOTXUSDT;RAYUSDT;C98USDT;MASKUSDT;ATAUSDT;DYDXUSDT;1000XECUSDT;GALAUSDT;CELOUSDT;ARUSDT;KLAYUSDT;ARPAUSDT;CTSIUSDT;LPTUSDT;ENSUSDT;PEOPLEUSDT;ROSEUSDT;DUSKUSDT;FLOWUSDT;IMXUSDT;API3USDT;GMTUSDT;APEUSDT;WOOUSDT;FTTUSDT;JASMYUSDT;DARUSDT;OPUSDT;INJUSDT;STGUSDT;SPELLUSDT;1000LUNCUSDT;LUNA2USDT;LDOUSDT;CVXUSDT;ICPUSDT;APTUSDT;QNTUSDT;FETUSDT;FXSUSDT;HOOKUSDT;MAGICUSDT;TUSDT;HIGHUSDT;MINAUSDT;ASTRUSDT;AGIXUSDT;PHBUSDT;GMXUSDT;CFXUSDT;STXUSDT;BNXUSDT;ACHUSDT;SSVUSDT;CKBUSDT;PERPUSDT;TRUUSDT;LQTYUSDT;USDCUSDT;IDUSDT;ARBUSDT;JOEUSDT;TLMUSDT;AMBUSDT;LEVERUSDT;RDNTUSDT;HFTUSDT;XVSUSDT;BLURUSDT;EDUUSDT;IDEXUSDT;SUIUSDT;1000PEPEUSDT;1000FLOKIUSDT;UMAUSDT;RADUSDT;KEYUSDT;COMBOUSDT;NMRUSDT;MAVUSDT;MDTUSDT;XVGUSDT;WLDUSDT;PENDLEUSDT;ARKMUSDT;AGLDUSDT;YGGUSDT;DODOXUSDT;BNTUSDT;OXTUSDT;SEIUSDT;CYBERUSDT;HIFIUSDT;ARKUSDT;GLMRUSDT;BICOUSDT;STRAXUSDT;LOOMUSDT;BIGTIMEUSDT;BONDUSDT;ORBSUSDT;STPTUSDT;WAXPUSDT;BSVUSDT;RIFUSDT;POLYXUSDT;GASUSDT;POWRUSDT;SLPUSDT;TIAUSDT;SNTUSDT;CAKEUSDT;MEMEUSDT;TWTUSDT;TOKENUSDT;ORDIUSDT;STEEMUSDT;BADGERUSDT;ILVUSDT;NTRNUSDT;KASUSDT;BEAMXUSDT;1000BONKUSDT;PYTHUSDT;SUPERUSDT;USTCUSDT;ONGUSDT;ETHWUSDT;JTOUSDT;1000SATSUSDT;AUCTIONUSDT;1000RATSUSDT;ACEUSDT;MOVRUSDT;NFPUSDT;AIUSDT;XAIUSDT;WIFUSDT;MANTAUSDT;ONDOUSDT;LSKUSDT;ALTUSDT;JUPUSDT;ZETAUSDT;RONINUSDT;DYMUSDT;OMUSDT;PIXELUSDT;STRKUSDT;MAVIAUSDT;GLMUSDT;PORTALUSDT;TONUSDT;AXLUSDT;MYROUSDT;METISUSDT;AEVOUSDT;VANRYUSDT;BOMEUSDT;ETHFIUSDT;ENAUSDT;WUSDT;TNSRUSDT;SAGAUSDT;TAOUSDT;OMNIUSDT;REZUSDT;BBUSDT;NOTUSDT;TURBOUSDT;IOUSDT;ZKUSDT;MEWUSDT;LISTAUSDT;ZROUSDT;RENDERUSDT;BANANAUSDT;RAREUSDT;GUSDT;SYNUSDT;SYSUSDT;VOXELUSDT;BRETTUSDT;ALPACAUSDT;POPCATUSDT;SUNUSDT;VIDTUSDT;NULSUSDT;DOGSUSDT;MBOXUSDT;CHESSUSDT;FLUXUSDT;BSWUSDT;QUICKUSDT;NEIROETHUSDT;RPLUSDT;AERGOUSDT;POLUSDT;UXLINKUSDT;1MBABYDOGEUSDT;NEIROUSDT;KDAUSDT;FIDAUSDT;FIOUSDT;CATIUSDT;GHSTUSDT;LOKAUSDT;HMSTRUSDT;REIUSDT;COSUSDT;EIGENUSDT;DIAUSDT;1000CATUSDT;SCRUSDT;GOATUSDT;MOODENGUSDT;SAFEUSDT;SANTOSUSDT;TROYUSDT;PONKEUSDT;COWUSDT;CETUSUSDT;1000000MOGUSDT;GRASSUSDT;DRIFTUSDT;SWELLUSDT;ACTUSDT;PNUTUSDT;HIPPOUSDT;1000XUSDT;DEGENUSDT;BANUSDT;AKTUSDT
2021-07-26 23:59:59.999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-07-27 23:59:59.999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-07-28 23:59:59.999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-07-29 23:59:59.999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-07-30 23:59:59.999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-07-31 23:59:59.999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-08-01 23:59:59.999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-08-02 23:59:59.999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-08-03 23:59:59.999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-08-04 23:59:59.999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-08-05 23:59:59.999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-08-06 23:59:59.999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2897;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-08-07 23:59:59.999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
